Customer Name,Customer Mail ID,Feedback,Sentiment,Date and Time,Caretaker/Server Name,Care Employee ID,Customer Age,Customer Contact,Department,Customer Stay Duration,Number of Visits,Membership Status,Amount to be Paid,NPS
Scott Hanson,dana28@example.com,Part your finally right.,Neutral,2024-05-06 22:52:06,Christopher Kennedy,7552,45,(382)675-3965x525,Room Service,30,8,Platinum,1507.4,0
Stephanie Anderson,lowerylaura@example.net,Together would story executive.,Neutral,2024-10-20 09:47:01,Donna Mendez,5749,62,701.239.2281x82843,Wellness,23,15,Silver,1490.7,10
Michelle White,pmartin@example.net,Theory him eat full south window year.,Neutral,2024-08-09 17:31:59,Carl Fitzgerald,7459,25,3392915408,Wellness,29,14,Platinum,4391.31,4
David Miller,bethany35@example.org,Could sound tonight cost trade.,Neutral,2024-08-13 11:24:30,Sydney Gibson,9746,43,898-200-9610x54009,Housekeeping,14,18,Platinum,383.95,6
Kevin Bender,patriciawilson@example.org,Structure subject right very total particularly fund.,Neutral,2024-05-17 18:30:57,David Wolf,4846,23,001-342-751-8524x849,Wellness,3,20,Platinum,1662.29,1
Jamie Burton,whiteroberta@example.com,Development turn by follow nice.,Neutral,2024-09-09 08:22:31,Brett Greene,9891,63,664-958-9481x16952,Dining,4,9,Gold,2528.18,2
Matthew Brown,nancyramirez@example.org,Could discover paper much training.,Neutral,2024-09-18 09:39:02,Robin Alvarado,8689,26,+1-816-349-0732x632,Housekeeping,6,17,None,1000.84,0
Susan Fritz,thomastina@example.com,Unit everybody body give cup.,Neutral,2024-02-14 07:29:56,Julie Patel,7782,34,+1-436-365-4591x84080,Dining,30,10,Gold,4756.38,0
Victor Lyons,lhenry@example.com,Guess them reflect every.,Neutral,2024-11-15 18:17:47,Lisa Berry,8428,56,(237)292-7769,Wellness,27,12,Silver,3450.87,10
Joshua Barton,samanthachapman@example.com,Under travel bag himself trouble.,Neutral,2024-07-02 16:42:46,Michael Wilson,6973,64,665-607-2333x21311,Wellness,18,17,Platinum,845.27,1
Amanda Hutchinson,kerrbrandon@example.org,Fly draw more before still seven.,Neutral,2024-06-18 15:16:41,Rhonda Manning,4506,50,530-221-3184x622,Wellness,13,8,Silver,1867.6,10
Misty White,johnsonamanda@example.com,Factor perhaps mission year trip including along.,Neutral,2024-03-11 17:34:07,Carlos Vega,4627,27,+1-248-266-4103,Wellness,22,16,Gold,4710.74,10
Lauren Davila,yrojas@example.com,Level couple security himself.,Neutral,2024-06-04 22:08:08,Ricardo King,1448,23,(984)396-3183,Wellness,1,11,None,4250.5,0
Craig Mcneil,latasha82@example.net,Eat coach together report.,Neutral,2024-01-10 06:34:05,Mike Johnson,3287,52,811-874-1591x913,Dining,4,18,Silver,4083.42,4
Michelle Lambert,kmiller@example.com,Law save brother office.,Neutral,2024-03-02 03:38:41,Susan Parker DVM,9841,27,+1-740-219-2277x8050,Housekeeping,4,20,Silver,2757.52,1
Cole Chambers,scott61@example.net,Tend book staff stop head quickly.,Neutral,2024-10-06 14:33:32,Amanda Stanley,2695,65,001-469-407-2453x8948,Housekeeping,23,9,Platinum,422.76,2
Kimberly Reed,jenniferlove@example.net,Keep rule lot response author much line administration.,Neutral,2024-06-26 19:02:25,Tamara Harris,4858,81,(468)506-6242x56455,Wellness,10,13,Platinum,4548.92,0
Judy Moore,sgross@example.net,Five understand air next quality.,Neutral,2024-06-13 09:29:52,Theresa Campbell,1605,50,001-280-509-7072,Wellness,24,11,Silver,4499.43,10
Kaitlin Harper,vernon75@example.org,Agree some lead before kind here program.,Neutral,2024-03-30 14:56:25,Harold Gates,7237,48,545.562.6263x4397,Wellness,11,11,None,4209.95,5
Michael Norris,nboyer@example.net,Card discussion several information parent.,Neutral,2024-05-25 12:16:07,Samantha Miller,3873,50,(381)367-9666,Wellness,16,16,Platinum,401.94,10
Sheila Buchanan,robertfaulkner@example.net,Green collection walk east.,Neutral,2024-06-05 14:12:12,Sandra Lee,9046,75,(577)328-5591x24821,Dining,22,17,None,2963.54,5
Zachary Fox,kthomas@example.org,Activity box head fund site.,Neutral,2024-07-26 02:38:55,Nathan Tucker,8560,68,467-756-2587x66471,Housekeeping,29,9,Silver,833.2,5
Kyle Hanson,pmyers@example.org,Him water customer full oil couple somebody.,Neutral,2024-04-16 16:47:24,Joseph Reyes,5269,71,001-968-538-1640x39070,Room Service,18,12,Gold,4155.65,8
Crystal Smith,alexandercohen@example.org,Figure accept gun everybody.,Neutral,2024-11-13 16:14:30,Gary Melton,6795,66,8876465905,Dining,19,4,Silver,4414.3,0
Michael Johnson,holmesann@example.net,Her such cell boy his senior claim.,Neutral,2024-12-08 03:17:51,Brian Moreno,6109,81,001-718-761-0968,Room Service,29,17,Gold,1864.09,6
Kristen Curtis,ashleyhunt@example.org,Far industry class cell work so.,Neutral,2024-02-18 18:10:46,Lisa Brown,5070,72,+1-838-932-5593,Wellness,2,1,Platinum,3511.74,6
Laurie Simon,paige75@example.org,Close bed loss responsibility.,Neutral,2024-11-21 07:30:09,Austin Blair,8483,53,(267)366-5960,Wellness,12,16,Gold,4511.66,2
Aaron Dyer,teresamiller@example.org,Candidate region lose whether.,Neutral,2024-08-16 21:56:06,Robert Moreno,3117,83,272.764.1753x66896,Room Service,3,2,Gold,4721.93,9
Richard Jones,josehorne@example.com,Seven science key even product.,Neutral,2024-07-15 17:30:09,Emily Walker,3316,79,(958)946-1766,Wellness,29,9,Platinum,4024.17,7
Joshua Mclean,kendra16@example.net,Identify dinner western whose.,Neutral,2024-12-02 04:26:43,Yvonne Schmidt,1180,52,001-535-342-5863x2717,Dining,28,12,None,248.06,5
Jenna Moore,lindsaystrong@example.net,Lot second nice government cut security lay.,Neutral,2024-05-14 13:10:18,Kenneth Bennett,9089,28,(747)374-0754x776,Wellness,2,5,Gold,3291.71,2
Jessica Beasley,timothyreyes@example.com,Fund common bank because him event local.,Neutral,2024-05-22 04:43:05,Nicole Wright,8365,50,(975)477-9842x897,Wellness,3,11,Gold,761.79,1
Nicole Davis,johnflores@example.org,Result investment development century.,Neutral,2024-12-15 08:12:08,Timothy Mccormick,5991,39,(461)444-3568,Wellness,23,16,Silver,3235.75,4
Kelly Brown,flemingariana@example.org,Occur student try while nearly remain defense.,Neutral,2024-03-26 18:19:20,Alexandra Martin,4498,53,(862)796-5882,Dining,3,15,Platinum,2909.7,0
Mark Mason,christianmartin@example.org,Tree hit address carry quite enter mouth.,Neutral,2024-05-15 06:09:49,Gary Long,6758,74,8942852440,Housekeeping,6,7,Silver,2832.81,4
Meredith Lowe,staffordgrace@example.com,Manager physical water subject knowledge.,Neutral,2024-02-10 21:06:33,Katherine Gill,4074,72,905.495.2963x0833,Wellness,11,20,Gold,1891.15,7
Heather Ruiz,jennifer12@example.org,Produce add answer between whether process.,Neutral,2024-02-11 02:21:56,Anthony Lewis,4509,77,306.737.9562,Housekeeping,13,5,Platinum,1507.3,4
Melissa Patterson,janet67@example.net,Offer cost author resource.,Neutral,2024-07-15 01:05:10,Jeffrey Hernandez,8089,52,+1-593-257-3492x7909,Housekeeping,3,5,None,4516.05,6
David Allen,bowerstimothy@example.com,Site book board off wife might without.,Neutral,2024-09-17 07:28:27,John Patel,2321,20,+1-539-426-0765x98662,Dining,22,17,Gold,4127.59,2
Samantha Johnson,yhorton@example.net,End prepare none.,Neutral,2024-10-15 10:11:14,Philip Roberts,7512,43,835-498-0745,Wellness,26,11,None,1654.35,9
Zoe Thomas,krystalgaines@example.com,Call blood red hard.,Neutral,2024-01-23 05:04:29,James Marquez,1441,52,281-612-1501x599,Wellness,16,12,None,2203.84,7
Dylan Mullins,vbradley@example.com,Million music within conference.,Neutral,2024-09-06 10:34:38,Emily Bell,7576,63,572.243.6761x4687,Room Service,21,19,None,2330.73,3
Amy Martin,samantha47@example.net,Central Congress outside baby subject mouth television.,Neutral,2024-02-03 08:15:22,Anna Ward,4475,23,2796330725,Dining,1,4,Silver,1671.21,6
Dawn Watkins,scott43@example.org,Although require inside smile agency game.,Neutral,2024-10-08 16:09:50,Juan Williams,6241,47,249-986-3422x1549,Housekeeping,6,16,Platinum,1361.51,5
Jack Cook,randy55@example.com,Out sister hair modern beyond effect step.,Neutral,2024-04-14 13:44:53,Tony Horne,9316,56,(796)467-5805x85277,Wellness,27,7,Silver,4826.91,2
Crystal Lucas,martinchristopher@example.net,Two avoid anyone per off course.,Neutral,2024-08-16 01:39:24,Michael Church,9123,68,+1-972-782-3996x7246,Wellness,19,11,None,4014.53,0
Steven Terry,emilymelendez@example.net,Money watch recent its.,Neutral,2024-09-28 12:42:06,Amanda Moreno,9503,50,986.731.4172x999,Dining,27,8,Silver,161.51,10
Jacob Hooper,vlopez@example.net,Debate full kid data.,Neutral,2024-09-05 10:18:34,Breanna Flowers,9596,44,943-681-1886x856,Room Service,8,10,None,2739.56,6
Douglas Morris,bmarshall@example.com,Letter hear only art must voice affect.,Neutral,2024-01-27 08:09:02,James Estrada,2575,55,001-307-294-2634x04776,Dining,28,10,None,2995.94,7
Chelsea Garcia,ingramdavid@example.org,Television project method candidate my against.,Neutral,2024-04-03 10:21:50,Lisa King,6841,64,953-336-6875,Room Service,10,10,None,2599.37,6
Scott Sampson,dchambers@example.org,Look agree reach very fly page.,Neutral,2024-08-07 12:52:35,Steve Reilly,4451,40,860.583.5620x95286,Dining,2,18,Silver,1795.76,4
Caitlin Grimes,taylorsandra@example.net,Put east year respond general spring as.,Neutral,2024-02-20 19:35:04,Elijah Wells,3948,61,001-584-373-8691x48893,Wellness,23,19,None,2156.3,8
Lindsay Butler,garciarodney@example.net,Place develop decide.,Neutral,2024-09-27 18:56:31,Deborah Ford,2495,69,204.445.9463,Wellness,15,7,Platinum,884.47,6
Katrina Hull,kelly57@example.org,Away then attack boy contain.,Neutral,2024-06-06 01:32:24,Robert Chavez,9644,44,760-800-3532,Dining,17,6,Platinum,1170.01,1
Christopher Nguyen,chambersalexis@example.org,A table area alone then.,Neutral,2024-09-16 11:38:53,Rita Young,9715,71,958-461-9408x21937,Housekeeping,9,8,Platinum,4123.5,6
Kimberly Russell,thomaschen@example.com,Better customer sense once military.,Neutral,2024-04-09 05:43:21,Tammy Jones,3781,47,4327917023,Dining,13,8,Gold,3022.46,7
Kimberly Phillips,elizabeth74@example.net,Perform its check political agreement.,Neutral,2024-04-23 05:17:02,Mary Allen,2898,26,+1-885-426-2382,Dining,15,15,Gold,1468.53,7
Jasmine Sanders PhD,christina30@example.org,Whatever include material second drop available off international.,Neutral,2024-07-20 16:25:16,Elizabeth Williams,9965,19,(386)601-5346,Wellness,28,17,Gold,93.29,5
Courtney Fuller,ssharp@example.com,Decade change prevent through Democrat.,Neutral,2024-02-27 04:58:12,Katherine Tucker,3791,31,(539)495-3731,Room Service,4,10,None,4574.23,2
Sarah Boyd,rdavis@example.net,Bad senior mind field sense.,Neutral,2024-05-28 02:40:17,Michelle Brown,3057,85,(667)645-0027,Housekeeping,13,3,Gold,2707.07,4
Jeremy Hernandez,andrewbarry@example.com,Reality create check factor performance health mouth huge.,Neutral,2024-03-04 07:55:46,Mrs. Colleen Pierce DVM,3690,31,(786)922-0447x942,Wellness,11,18,Gold,957.07,3
Scott Watson,tcampbell@example.net,Doctor chance model.,Neutral,2024-12-05 09:06:47,Marilyn Watkins,6261,75,626-470-5950,Wellness,4,12,None,348.07,8
Veronica Bradshaw,wheelermichael@example.org,Protect rise court garden low where.,Neutral,2024-05-26 07:49:04,Megan Manning,1305,44,(700)670-2262x0292,Dining,6,16,None,2758.44,3
Neil Johnson,khicks@example.net,Mr program start guess owner organization sound.,Neutral,2024-11-08 00:22:24,Juan Nelson,5194,83,733-903-2163x6987,Dining,6,16,Platinum,2247.38,10
Matthew Cruz,cabreragloria@example.net,Society raise push probably before wonder.,Neutral,2024-11-13 15:25:16,Felicia Neal,5994,21,8384928403,Housekeeping,2,12,None,1295.72,6
Amy Miller,xhaynes@example.net,Sea decade investment store whatever.,Neutral,2024-04-12 10:13:17,Randy Rollins,6788,79,379.848.6084x47096,Room Service,19,16,Gold,4264.94,7
Brianna Bowers,ojohnson@example.net,Buy thus be much.,Neutral,2024-07-05 01:37:44,Alfred Cross,4734,56,(252)407-6332,Dining,13,11,Gold,3453.58,8
Timothy Sanchez,loganjoshua@example.net,Herself decision soon process brother social source.,Neutral,2024-12-14 03:44:00,Renee Smith,5630,70,001-446-565-9159x894,Housekeeping,21,17,Gold,2430.4,8
Mr. Kevin Jenkins,michaelkhan@example.org,Decide candidate life marriage traditional.,Neutral,2024-03-26 07:09:42,Danielle Becker,6351,73,986-950-4353x79732,Dining,22,19,Gold,1816.17,6
Matthew Brown,sandra58@example.net,Brother discuss number successful try.,Neutral,2024-11-01 01:02:44,Jennifer Massey,5324,55,780.411.0580,Wellness,13,5,Gold,4538.0,0
Lori Hudson,holly06@example.com,Wish head situation institution city player.,Neutral,2024-09-26 16:54:47,Allison Livingston MD,1333,44,997.470.0412x1231,Dining,10,5,Platinum,2116.64,9
Patricia Blackwell,markcompton@example.com,Fill economic indeed turn increase meet.,Neutral,2024-04-27 20:37:19,Anthony Wells,8113,35,572.483.2512,Housekeeping,6,8,Gold,2859.09,3
Justin Cline,awright@example.com,Technology coach chance identify reflect until.,Neutral,2024-02-21 13:01:38,John Sandoval,5107,21,001-394-644-1264x249,Wellness,20,15,Silver,2492.94,4
Joyce Jenkins,michaelmacdonald@example.org,Bring really add reveal pretty born character.,Neutral,2024-05-20 15:52:02,Leslie Price,8274,30,(755)692-7751x6102,Dining,12,5,None,3448.45,1
Sarah Sherman,diana87@example.com,Party imagine city though.,Neutral,2024-04-17 07:36:51,Anthony Hoffman,8329,82,6916764825,Dining,28,6,Silver,315.3,5
Angela Garrison,ftodd@example.org,Guess tend cut area soon agency look house.,Neutral,2024-09-18 14:38:20,Charlotte Silva,1054,78,(245)203-3629,Dining,9,9,Gold,881.84,10
Michael Williams,catherinephillips@example.org,Spring teach page.,Neutral,2024-04-09 05:46:47,Crystal Clark,7303,67,+1-818-984-8412x995,Housekeeping,16,12,Gold,902.87,1
Kenneth Miller,denisemartin@example.com,Firm color reveal operation effort discuss.,Neutral,2024-12-18 20:36:16,Jacob Wright,1803,31,+1-366-623-2396x1251,Room Service,16,10,Platinum,2363.62,9
Shane Gregory,brianna57@example.net,Require example government every while research through.,Neutral,2024-11-13 06:33:13,Christopher Moon,4516,68,(460)474-7337,Room Service,18,4,Silver,1314.03,6
Amy Young,yhill@example.org,Power field at fall building right standard risk.,Neutral,2024-08-06 06:58:59,Ashley Kelly,1809,79,+1-852-474-3308x52211,Housekeeping,26,1,None,3851.25,10
Justin Hopkins,cunninghamrebecca@example.com,Pick condition such draw themselves ground whether.,Neutral,2024-05-08 18:17:30,Andrea Saunders,7364,44,902-227-9333x8233,Room Service,24,18,Gold,4947.01,2
Hannah Holt,millersteven@example.net,Seem operation else human grow should training.,Neutral,2024-10-15 20:54:47,Kristina Hamilton,5695,38,+1-800-844-2010x1802,Wellness,24,13,Silver,2158.4,7
Lori Armstrong,erika57@example.com,Price far politics.,Neutral,2024-08-26 12:47:30,Jeffrey Flowers,9271,55,794.779.8682x759,Housekeeping,24,20,Silver,2646.53,10
Angela Williams,xlopez@example.com,Trade decision sure live behavior reveal a.,Neutral,2024-02-11 23:06:30,Christopher Perkins DDS,7262,28,4192577652,Room Service,13,2,Gold,883.67,0
Frank Ortiz,drewochoa@example.com,Do security memory key mission culture education.,Neutral,2024-01-28 08:25:04,Michael Adkins,9762,83,334.558.1883x514,Housekeeping,19,19,Platinum,1022.46,5
Timothy Stein,qhenry@example.com,Available create conference manager.,Neutral,2024-06-17 08:43:34,Stephanie Massey,3083,69,+1-918-864-2867x529,Dining,25,19,None,2178.17,2
Dean Fox,gregorymalik@example.net,Result floor old miss energy difficult order unit.,Neutral,2024-06-12 17:01:29,Cameron Peters,8783,31,001-590-843-0762,Room Service,24,11,Gold,3395.46,4
Allison Jimenez,mholmes@example.org,Something religious success.,Neutral,2024-05-03 11:32:58,Crystal Clark,1464,56,001-248-846-6264x72898,Housekeeping,10,7,Platinum,4735.59,9
Stephanie Black,qgreen@example.net,Together exist could hospital charge.,Neutral,2024-02-25 17:07:00,Donald Molina,4293,47,422-923-0599x860,Housekeeping,8,1,None,3886.08,5
Nathaniel Perez,stephanie83@example.org,Professor although quite base go.,Neutral,2024-08-03 13:36:13,Rodney Page,7655,50,001-982-752-4984x358,Dining,16,3,Gold,1517.93,8
James Chavez,ischwartz@example.net,Forget medical meeting partner.,Neutral,2024-05-14 04:39:45,Michelle Rose,2553,78,(257)809-4329,Room Service,26,7,Platinum,4046.02,7
Christopher Franco,kimberlyadams@example.com,Interest best left sort book agreement.,Neutral,2024-05-07 18:07:46,Jeffrey Turner,1675,26,564-498-1849,Room Service,9,7,Platinum,2153.23,9
Elizabeth Jackson,crawfordmark@example.net,Billion eye single news analysis international.,Neutral,2024-03-25 18:26:08,Kristine Powell,4255,63,840-243-2258x56166,Room Service,25,17,Gold,3686.56,10
Mary West,laurie42@example.com,Idea teacher reason west adult much at deal.,Neutral,2024-11-23 09:57:54,Lisa Bartlett,7526,82,413-845-6438x903,Dining,22,9,Silver,4917.84,2
Christopher Ramsey,nhall@example.net,Ago month rock even send feeling believe.,Neutral,2024-04-13 14:22:43,Amanda Compton,9855,84,870.552.8076,Wellness,12,8,Platinum,1425.78,3
Brenda Ramirez,jsteele@example.org,Authority visit easy enough sense black.,Neutral,2024-02-07 08:11:15,Donald Logan,5453,63,(972)356-9084x343,Housekeeping,15,18,Platinum,1067.83,4
Stacie Williams,dmalone@example.org,Court accept determine.,Neutral,2024-12-14 10:41:04,Kristy Smith,4076,28,3295944372,Dining,12,8,Platinum,1586.21,0
Sean Simon,fberry@example.org,Southern budget game old government that response.,Neutral,2024-10-11 07:25:25,Philip Rivera,1735,69,485.235.2959,Wellness,27,3,Gold,2995.32,6
Arthur Schneider,james32@example.org,Media different responsibility where purpose professor.,Neutral,2024-08-09 20:43:08,Jennifer Jensen,5032,38,425-970-9315x3418,Room Service,20,6,Platinum,1464.08,3
Joseph Hall,radams@example.net,International skill exactly charge than bag.,Neutral,2024-05-11 07:22:43,Heather Baker,8288,85,+1-391-598-8510x9496,Wellness,30,15,None,4325.81,10
Michael Garcia,maria51@example.org,Attack hot education administration ever step continue.,Neutral,2024-11-08 07:44:04,Karen Hill,2029,35,001-447-695-0326x02514,Dining,27,6,Platinum,4854.2,6
Alicia Cox,ortizjamie@example.com,Language both ok yard hospital heavy.,Neutral,2024-05-20 06:05:15,Allison Robinson,8272,18,420.314.5258x525,Housekeeping,1,14,Gold,2915.03,1
Mariah Newton,melissahowell@example.org,Tough already base season military true.,Neutral,2024-01-07 11:53:49,Becky Davis,3240,49,5823196190,Dining,3,20,None,882.76,8
Maurice Hughes,debramartin@example.org,Plant business nation forward it company too.,Neutral,2024-11-05 11:25:02,Melissa Glenn,3898,19,645-587-6973,Housekeeping,6,3,None,2209.92,0
Jillian Miles,schroederdarlene@example.net,Paper reality provide risk Congress.,Neutral,2024-05-12 15:11:22,Daniel Wilson,2592,19,9323236204,Wellness,8,17,None,2747.24,6
Jeremiah Gray,ulee@example.com,Movement pretty shake town scene other floor.,Neutral,2024-02-21 12:16:48,Alicia Holt,2631,35,756.220.6605x62858,Room Service,3,17,Platinum,1190.16,1
Robert Lucas,wadelaura@example.net,As game wife kid well final sing.,Neutral,2024-10-13 15:46:40,Jason White,2345,37,+1-561-643-6579x8032,Wellness,16,18,None,1976.46,4
Bryan Welch,eblack@example.com,Near together card account.,Neutral,2024-10-12 10:51:25,Michael Guzman,6610,24,982.593.6579x8393,Room Service,16,16,Gold,1643.16,6
Douglas Franklin MD,michelle50@example.net,Four fire should give house ten money Mrs.,Neutral,2024-12-07 03:38:32,Deanna Giles,3169,54,(577)948-1166x482,Wellness,11,19,Silver,4469.1,4
Lisa Price,ifrench@example.net,Size reduce pretty plant effect under.,Neutral,2024-11-12 01:23:27,Hannah Arroyo,6590,85,910-986-3246x1696,Room Service,29,9,Gold,2938.65,5
Casey Baker,bhunter@example.net,This teach body necessary.,Neutral,2024-08-28 03:00:27,Manuel Zavala,9276,76,886.584.0659x0779,Room Service,10,4,None,217.57,4
Jacqueline Burns,jason79@example.net,Process over Republican success meeting blue radio.,Neutral,2024-11-12 23:14:48,Eileen Nguyen,9261,65,+1-268-339-0490,Dining,1,8,Platinum,1313.29,6
Ann Keith,jessicakim@example.net,Tv until leader theory wait skill still.,Neutral,2024-05-20 16:59:40,Ronald Frost,2902,46,001-204-356-0632x649,Housekeeping,29,16,None,3487.99,0
Melissa Clarke,williamssean@example.net,Save population fight necessary short.,Neutral,2024-03-13 03:09:39,Patricia Weaver,7218,57,984-674-7785x481,Housekeeping,2,6,Gold,4007.24,6
Kristen Garcia,mayjason@example.com,Red share address theory matter difficult data family.,Neutral,2024-09-12 13:32:31,John Burns,8390,18,(295)707-5982x14162,Wellness,13,1,Platinum,1196.86,6
Corey Mack,usimpson@example.org,Response actually country sound.,Neutral,2024-03-19 08:59:54,Patricia Nunez,4180,23,885-592-0419,Room Service,20,12,Platinum,1347.96,6
Amy Johnson,lukelopez@example.org,Reach attorney accept continue exactly.,Neutral,2024-01-12 04:48:12,Steven Ford,1249,34,(328)414-6529,Housekeeping,27,5,Silver,889.14,10
Cassandra Preston,craigbenjamin@example.net,New four black share develop then low argue.,Neutral,2024-08-01 10:24:33,Mary Baker,4603,81,342.995.9634,Dining,5,4,Silver,2147.71,9
Samantha Baker,agregory@example.net,Long prove thought check officer understand.,Neutral,2024-09-25 18:43:15,Michael Cobb,8460,83,001-215-557-9280,Dining,15,9,Silver,1708.48,4
Sara Mooney,phillip14@example.org,Anyone foot step chair.,Neutral,2024-07-28 00:34:52,Savannah Williams,4421,53,(366)917-2548,Room Service,8,4,Silver,2237.73,4
Nicholas Watson,alvinmcpherson@example.net,Herself magazine customer free really forget modern instead.,Neutral,2024-05-24 06:24:47,Hannah Knight,5378,30,(679)814-0765x114,Wellness,9,20,Platinum,1009.4,4
Madison Cohen,apatterson@example.org,Choose capital test research worker total.,Neutral,2024-10-30 07:24:18,James Davis,1100,77,291-457-5438x576,Housekeeping,29,9,None,4401.53,7
Adam Sexton,richbill@example.org,Modern practice authority me.,Neutral,2024-06-10 03:43:56,Erika Haas,9596,53,305-211-4831x83505,Room Service,9,17,None,445.03,5
Brandon Montoya,suzannecompton@example.com,Miss heart town author current.,Neutral,2024-07-26 21:17:39,Kenneth Hernandez,1727,77,(364)989-5958x817,Room Service,19,7,None,220.95,0
Ana Kelley,ryanfranco@example.net,Full onto science manage.,Neutral,2024-12-18 18:14:29,Kenneth Thomas,9787,29,947-354-2046,Housekeeping,16,7,None,4069.85,4
David Mcgee,sandra42@example.com,Thought participant thousand.,Neutral,2024-04-27 16:15:25,Brandon Holmes,1163,72,(778)998-2118x675,Room Service,28,5,Silver,1549.25,6
Timothy Adams,lynchelizabeth@example.com,Anything five hand sense.,Neutral,2024-03-15 01:13:45,Erin Johns,6090,55,(210)977-4128,Dining,9,16,Platinum,228.29,5
Justin Rodriguez,emartinez@example.net,Attorney international data difficult.,Neutral,2024-01-15 05:01:30,Mrs. Marie Santana,6823,64,(710)269-1549,Wellness,13,7,Platinum,2866.11,3
Terry Hicks Jr.,carolstanley@example.com,Our bag animal nothing evidence hundred.,Neutral,2024-04-04 22:40:51,Kevin Taylor,9087,62,(803)855-4349,Wellness,7,8,Silver,4416.26,6
Elizabeth Oliver,adamgriffith@example.org,Risk chance rather these.,Neutral,2024-01-08 10:31:06,James Chavez,5946,29,480.429.0522x24483,Wellness,11,2,Platinum,2357.41,0
James Padilla,jeffbowman@example.org,Buy small process single method think.,Neutral,2024-04-24 00:30:58,David York,1134,41,+1-901-422-0957x1633,Wellness,1,20,Silver,3970.23,2
Timothy Marshall,troman@example.org,Line single with tend too.,Neutral,2024-08-07 22:46:04,James Burton,4411,58,001-714-980-3785,Wellness,20,20,Gold,1731.49,8
Heather Lee,ronaldpatrick@example.org,See whatever investment would six mean.,Neutral,2024-10-01 06:19:57,Tony Hutchinson,9739,40,001-413-509-8933x101,Dining,8,19,Platinum,4954.68,5
Jacqueline Benson,powelljonathan@example.com,Work feeling among information know.,Neutral,2024-05-26 02:49:46,Samantha Smith,1476,34,729.910.6632x77935,Dining,14,5,None,1787.5,6
Erica Johnston,jameswilliams@example.org,Gas stand conference science professional section adult.,Neutral,2024-07-22 07:28:09,Melissa Lee,2043,76,+1-372-802-5086x8590,Wellness,17,11,Gold,2402.55,10
Jennifer Shepard,icampbell@example.net,Case professor usually every character bad.,Neutral,2024-03-09 11:27:53,Melissa Morales,3990,30,(921)418-2483,Housekeeping,20,10,Gold,2693.5,8
Dean Bautista,sarah79@example.com,Realize bank kind public.,Neutral,2024-04-30 11:26:31,Pamela Cantu,6706,56,415.701.1122x5419,Room Service,15,14,Platinum,477.81,4
Matthew Norman,karen92@example.net,Affect off life on computer tell determine.,Neutral,2024-04-08 05:43:39,Angela Smith,5424,47,9158036705,Wellness,3,10,Platinum,1805.99,4
Brenda Robinson,hannahrodriguez@example.org,Tough which growth attorney.,Neutral,2024-02-09 03:02:37,Jason Ayala,4193,59,607-667-6264,Housekeeping,27,4,Gold,1623.89,2
Kathryn Chen DVM,kimberly36@example.com,Fight husband pressure word attack point idea.,Neutral,2024-03-28 19:13:18,Melissa Tucker,9693,79,462.369.1625,Housekeeping,4,2,None,2044.42,4
